"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Atlantique océan"
"geogFeat Cher rivière"
"geogFeat Loire fleuve"
"geogFeat Loire fleuve"
"geogFeat Sahara désert"
"geogFeat Tropiques "
"geogFeat Vésuve montagne"
"geogFeat Zone torride "
"geogFeat tropiques "
"geogFeat équateur "
"geogFeat équateur "
"placeName Afrique "
"placeName Afrique "
"placeName Amboise "
"placeName Amboise "
"placeName Amboise "
"placeName Amboise "
"placeName Amboise "
"placeName Amiens "
"placeName Amérique "
"placeName Amérique centrale "
"placeName Amérique du S "
"placeName Amérique orientale "
"placeName Antilles "
"placeName Antilles "
"placeName Antilles "
"placeName Ardennes "
"placeName Atlantique "
"placeName Australie "
"placeName Auvergne "
"placeName Bagnères "
"placeName Barèges "
"placeName Blois "
"placeName Blois "
"placeName Blois "
"placeName Blois "
"placeName Blois "
"placeName Blois "
"placeName Blois "
"placeName Bordeaux "
"placeName Bourbon "
"placeName Bourbonnais "
"placeName Brest "
"placeName Brest "
"placeName Buenos-Ayres "
"placeName Béarn "
"placeName Californie "
"placeName Calvados "
"placeName Chailly-en-Bière "
"placeName Chailly-en-Bière "
"placeName Chambord "
"placeName Chambord "
"placeName Chambord "
"placeName Chambord "
"placeName Chaudesaigues "
"placeName Chenonceaux "
"placeName Chenonceaux "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cholet "
"placeName Château d'Amboise "
"placeName Château de Blois "
"placeName Château de Piessis-lès-Tours "
"placeName Espagne "
"placeName Est "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Finistère "
"placeName Flers "
"placeName Fort-de-France "
"placeName Fort-de-France "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Guinée "
"placeName Herculanum "
"placeName Herculanum "
"placeName Herculanum "
"placeName Indre-et-Loire "
"placeName Lorient "
"placeName Maine-et-Loire "
"placeName Manche "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Martinique "
"placeName Moka "
"placeName Mont-Dore "
"placeName Nord "
"placeName Nouvelle-Zélande "
"placeName Parc National "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Pithiviers "
"placeName Plessis "
"placeName Plessis-les-Tours "
"placeName Plessis-les-Tours "
"placeName Plessis-les-Tours "
"placeName Plombières "
"placeName Pompéi "
"placeName Pompéi "
"placeName Pompéi "
"placeName Portugal "
"placeName Rochdale "
"placeName Rochdale "
"placeName Rochdale "
"placeName Rochdale "
"placeName Rochefort "
"placeName Rouen "
"placeName Saint-Nazaire "
"placeName Saint-Quentin "
"placeName Strasbourg "
"placeName Sénégal "
"placeName Toulon "
"placeName Touraine "
"placeName Tours "
"placeName Tours "
"placeName Vichy "
"placeName Vosges "
"placeName lslande "
"placeName petites Antilles "
