"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Bérésina rivière"
"geogFeat Bérésina rivière"
"placeName >France "
"placeName Angleterre "
"placeName Besançon "
"placeName Bordeaux "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bérésina "
"placeName Bérésina "
"placeName Chine "
"placeName Flandre "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Hollande "
"placeName Milan "
"placeName Montdidier "
"placeName Moscou "
"placeName Moscou "
"placeName Moscou "
"placeName Moscou "
"placeName Moscou réel"
"placeName Paris "
"placeName Paris "
"placeName Poitou "
"placeName Russie "
"placeName Russie "
"placeName Saint-Quentin "
"placeName Smolensk "
"placeName Versailles "
