"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Alpes montagne"
"geogFeat Aude fleuve"
"geogFeat Cèvennes montagne"
"geogFeat Gard rivière"
"geogFeat Garonne fleuve"
"geogFeat Hérault fleuve"
"geogFeat Méditerranée mer"
"geogFeat Méditerranée mer"
"geogFeat Méditerranée mer"
"geogFeat Rhône fleuve"
"geogFeat Rhône fleuve"
"geogFeat Saône rivière"
"geogFeat côte anglaise "
"placeName 'Amérique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique méridionale "
"placeName Agen "
"placeName Aix "
"placeName Aix "
"placeName Alençon "
"placeName Algérie "
"placeName Amiens "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angoumois "
"placeName Arabie "
"placeName Arc de triomphe "
"placeName Arles "
"placeName Arles "
"placeName Arènes "
"placeName Arènes "
"placeName Asie "
"placeName Aubusson "
"placeName Austerlitz "
"placeName Autriche "
"placeName Autun "
"placeName Auvergne "
"placeName Avignon "
"placeName Beauvais "
"placeName Belgique "
"placeName Belgique "
"placeName Bengale "
"placeName Besançon "
"placeName Birmingham "
"placeName Bohême "
"placeName Bois de Boulogne "
"placeName Bordelais "
"placeName Bourbonnais "
"placeName Bourgogne "
"placeName Bretagne "
"placeName Bretagne "
"placeName Brie-Comte-Robert "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Bruxelles "
"placeName Brésil "
"placeName Béziers "
"placeName Calais "
"placeName Cambrai "
"placeName Cannes "
"placeName Cannes "
"placeName Carcassonne "
"placeName Cette "
"placeName Chine "
"placeName Chine "
"placeName Corse "
"placeName Damas "
"placeName Draguignan "
"placeName Elbeuf "
"placeName Espagne "
"placeName Espagne "
"placeName Etat de New-York "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Faenza "
"placeName Flandre "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France méridionale "
"placeName Gaule "
"placeName Grand Trianon "
"placeName Grasse "
"placeName Grasse "
"placeName Grenelle "
"placeName Grenelle "
"placeName Grenoble "
"placeName Grisy-Suisnes "
"placeName Halles "
"placeName Halles centralès "
"placeName Hindoustan "
"placeName Hollande "
"placeName Hollande "
"placeName Hyères "
"placeName Hyères "
"placeName Isère "
"placeName Italie "
"placeName Italie "
"placeName Japon "
"placeName Jardin "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Jardin d'acclimatation "
"placeName Languedoc "
"placeName Lodève "
"placeName Lorraine "
"placeName Louvre "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Madeleine "
"placeName Madeleine "
"placeName Maison carrée "
"placeName Maison carrée de Nîmes "
"placeName Marseille "
"placeName Marseille "
"placeName Metz "
"placeName Midi "
"placeName Midi "
"placeName Midi "
"placeName Midi "
"placeName Montpellier "
"placeName Montpellier "
"placeName Narbonne "
"placeName Nice "
"placeName Nice "
"placeName Nice "
"placeName Nice "
"placeName Nimes "
"placeName Nimes "
"placeName Nimes "
"placeName Nord, "
"placeName Normandie "
"placeName Normandie "
"placeName Nérac "
"placeName Nîmes "
"placeName Nîmes "
"placeName Nîmes "
"placeName Nîmes "
"placeName Orange "
"placeName Orient "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Pasde-Calais "
"placeName Perpignan "
"placeName Petit Trianon "
"placeName Petit Trianon "
"placeName Peyrou "
"placeName Peyrou "
"placeName Picardie "
"placeName Provins "
"placeName Provins "
"placeName Rochdale "
"placeName Roubaix "
"placeName Rue Fondary "
"placeName Russie "
"placeName Russie "
"placeName Saint-Denis "
"placeName Saint-Etienne "
"placeName Saint-Martin "
"placeName Saintes "
"placeName Saintonge "
"placeName Sedan "
"placeName Shetland "
"placeName Shetland "
"placeName Shetland "
"placeName Syrie "
"placeName Temple "
"placeName Ternes "
"placeName Ternes "
"placeName Ternes "
"placeName Terre-Neuve "
"placeName Toulon "
"placeName Toulon "
"placeName Toulouse "
"placeName Trianon "
"placeName Trianon "
"placeName Tuileries "
"placeName Ulm "
"placeName Valenciennes "
"placeName Valenciennes "
"placeName Versailles "
"placeName Vienne "
"placeName Vienne "
"placeName Wagram "
"placeName Wagram "
"placeName Wagram "
"placeName bois de Boulogne "
"placeName centre "
"placeName colonie du Cap "
"placeName colonne Vendôme "
"placeName colonne de Juillet "
"placeName faubourg Saint-Honoré "
"placeName magasin du Louvre "
"placeName magasin du Louvre "
"placeName magasin du Louvre "
"placeName midi "
"placeName musée des gloires nationales de la France "
"placeName palais de Versailles "
"placeName palais de Versailles "
"placeName palais de Versailles "
"placeName palais de l'Elysée "
"placeName palais de l'Elysée "
"placeName palais de l'Elysée "
"placeName place du Châ telet "
"placeName rue Fondary "
"placeName École professionnelle ménagère de la Ville de Paris "
"placeName Écosse "
