"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Atlantique océan"
"geogFeat Bangouéolo lac"
"geogFeat Chiroua lac"
"geogFeat Congo fleuve"
"geogFeat Escaut "
"geogFeat Grand Désert désert"
"geogFeat Grand Désert "
"geogFeat Grand Désert désert"
"geogFeat Grand Désert désert"
"geogFeat Grand Désert désert"
"geogFeat Niger "
"geogFeat Niger fleuve"
"geogFeat Niger supérieur "
"geogFeat Nil fleuve"
"geogFeat Nyassa lac"
"geogFeat Oudjiji lac"
"geogFeat Oudjiji lac"
"geogFeat Sahara "
"geogFeat Sahara désert"
"geogFeat Sahara désert"
"geogFeat Sahara désert"
"geogFeat Sahara désert"
"geogFeat Sénégal fleuve"
"geogFeat Sénégal fleuve"
"geogFeat Tanganyika lac"
"geogFeat Zambèze "
"geogFeat Zambèze fleuve"
"geogFeat Zambèze fleuve"
"geogFeat Zanzibar lac"
"geogFeat lac Mouéro lac"
"geogFeat lac Ngami "
"geogFeat lac Tanganyika lac"
"geogFeat lac Tanganyika lac"
"geogFeat lac Tchad "
"geogFeat lac Tchad "
"geogFeat lac Victoria lac"
"geogFeat lacs Victoria lac"
"placeName >Inde "
"placeName Abyssinie "
"placeName Abyssinie "
"placeName Abyssinie "
"placeName Abyssinie "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique septentrionale "
"placeName Afrique septentrionale) "
"placeName Algerie réel"
"placeName Algèrie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Amérique "
"placeName Amérique "
"placeName Anvers "
"placeName Anvers "
"placeName Artois "
"placeName Asie "
"placeName Asie "
"placeName Asie Mineure "
"placeName Atlantique "
"placeName Australie "
"placeName Bakel "
"placeName Bakel "
"placeName Bamakou "
"placeName Bambouk "
"placeName Bangouéolo "
"placeName Benguéla "
"placeName Benguéla "
"placeName Besançon "
"placeName Bilma "
"placeName Blidah "
"placeName Bochnia "
"placeName Bogamoya "
"placeName Bornou "
"placeName Bornou "
"placeName Béarn "
"placeName Californie "
"placeName Californie "
"placeName Catelet "
"placeName Catelet "
"placeName Cazembé "
"placeName Chine "
"placeName Chiroua "
"placeName Château-Salins "
"placeName Cluses "
"placeName Congo "
"placeName Congo "
"placeName Cracovie "
"placeName Câtalet "
"placeName Dieuze "
"placeName Durban "
"placeName Egypte "
"placeName Escaut "
"placeName Espagne "
"placeName Espagne "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Fragicourt "
"placeName Fragicourt "
"placeName Fragicourt "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Franche-Comté "
"placeName Franche-Comté "
"placeName Gabon "
"placeName Gabon "
"placeName Gabon "
"placeName Gabon "
"placeName Ghadamès "
"placeName Ghadamès "
"placeName Gondohoro "
"placeName Gondokoro "
"placeName Gondokoro "
"placeName Grand Désert "
"placeName Grand Désert "
"placeName Grand Désert "
"placeName Grand Désert "
"placeName Grand Désert "
"placeName Grand Désert "
"placeName Grenelle "
"placeName Grenelle "
"placeName Grèce "
"placeName Insalah "
"placeName Italie "
"placeName Khartoum "
"placeName Kita "
"placeName Kordofan "
"placeName Lons-le-Saunier "
"placeName Lorraine "
"placeName Maroc "
"placeName Maroc "
"placeName Maroc "
"placeName Maroc "
"placeName Marseille "
"placeName Midi "
"placeName Mourzouk "
"placeName Mourzouk "
"placeName Médine "
"placeName Médine "
"placeName Méditerranée "
"placeName Nachtigal "
"placeName Niger "
"placeName Niger "
"placeName Niger "
"placeName Niger "
"placeName Niger supérieur "
"placeName Nigritie "
"placeName Nil "
"placeName Nord "
"placeName Nubie "
"placeName Nubie "
"placeName Nubie "
"placeName Nyassa "
"placeName Océanie "
"placeName Ouadai "
"placeName Ouargla "
"placeName Oudjiji "
"placeName Oudjiji "
"placeName Ounyoro "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Pascal fictif"
"placeName Passy "
"placeName Pologne "
"placeName Pologne "
"placeName Provence "
"placeName Provence "
"placeName Pérou "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Sahara "
"placeName Saint-Denis "
"placeName Saint-Louis "
"placeName Salies "
"placeName Salins "
"placeName Savoie "
"placeName Seine-et-Oise "
"placeName Sennaar "
"placeName Sennaar "
"placeName Souakim "
"placeName Soudan "
"placeName Soudan réel"
"placeName Syrie "
"placeName Syrie "
"placeName Ségou "
"placeName Sénégal "
"placeName Sénégal "
"placeName Sénégambie "
"placeName Tanganviha "
"placeName Tanganyika "
"placeName Tell "
"placeName Tell "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou "
"placeName Tombouctou réel"
"placeName Tripoli "
"placeName Tripoli "
"placeName Tripoli "
"placeName Tété "
"placeName Vic "
"placeName Villepreux "
"placeName Villepreux "
"placeName Villepreux "
"placeName Villepreux "
"placeName Villepreux "
"placeName Wieliczka "
"placeName Zambèze "
"placeName Zambèze "
"placeName Zambèze "
"placeName Zanzibar "
"placeName Zanzibar "
"placeName Zanzibar "
"placeName Zanzibar "
"placeName Zanzibar "
"placeName Zanzibar "
"placeName \Algérie "
"placeName colonie de Natal "
"placeName lac Mouéro "
"placeName lac Ngami "
"placeName lac Tanganyika "
"placeName lac Tanganyika "
"placeName lac Tchad "
"placeName lac Tchad "
"placeName lac Victoria "
"placeName lacs Victoria "
"placeName pays des Gallas "
"placeName pays des Nyams-Nyams "
"placeName place de la Concorde "
"placeName Égypte "
"placeName Égypte "
"placeName Égypte "
"placeName à "
