"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Compiègne forêt"
"geogFeat Fontainebleau forêt"
"geogFeat Jura montagne"
"geogFeat Morvan montagne"
"geogFeat Orléans forêt"
"geogFeat Vosges montagne"
"geogFeat les Landes forêt"
"placeName Afrique "
"placeName Alleghany "
"placeName Amérique "
"placeName Aquitaine "
"placeName Austrasie "
"placeName Beauvais "
"placeName Beauvais "
"placeName Beauvais "
"placeName Canada "
"placeName Caspienne "
"placeName Chili "
"placeName Compiègne "
"placeName Europe "
"placeName Europe "
"placeName Falaise "
"placeName Falaise "
"placeName Falaise "
"placeName Falaise "
"placeName Falaise "
"placeName Fontainebleau "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Inde "
"placeName Jura "
"placeName Lorraine "
"placeName Malaisie "
"placeName Marseille "
"placeName Mayence "
"placeName Mayence "
"placeName Metz "
"placeName Morvan "
"placeName Neustrie "
"placeName Normandie "
"placeName Normandie "
"placeName Noyon "
"placeName Orléans "
"placeName Paris "
"placeName Pérou "
"placeName Rouen "
"placeName Sibérie "
"placeName Sibérie "
"placeName Strasbourg "
"placeName Valachie "
"placeName Villedieu "
"placeName Vosges "
"placeName abbaye de Saint-Denis "
"placeName l'Asie centrale "
"placeName l'Italie méridionale "
"placeName la France "
"placeName la Lorraine "
"placeName la Syrie "
"placeName le continent européen "
"placeName le nord de l'Afrique "
"placeName les Alpes "
"placeName les Landes "
"placeName les Pyrénées "
"placeName les Pyrénées "
"placeName États-Unis "
