"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Atlantique océan"
"geogFeat Atlantique océan"
"geogFeat Manche mer"
"geogFeat Rhône fleuve"
"geogFeat Rhône fleuve"
"geogFeat Saône rivière"
"geogFeat Saône rivière"
"geogFeat Tamise fleuve"
"geogFeat la forêt du Mans forêt"
"geogFeat massif des Cévennes montagne"
"geogFeat mer du Nord mer"
"placeName Conservatoire*Conservatoire. Grand édifice, situé à Paris, où l'on conserve les modèles de toutes les machines. des arts et métiers "
"placeName Alençon "
"placeName Allemagne "
"placeName Amplepuis "
"placeName Amplepuis "
"placeName Amplepuis "
"placeName Amplepuis "
"placeName Amérique "
"placeName Amérique "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Antilles "
"placeName Argenteuil "
"placeName Argenteuil "
"placeName Argenteuil "
"placeName Artois "
"placeName Australie "
"placeName Auvergne "
"placeName Auxerre "
"placeName Bavière "
"placeName Bourgogne "
"placeName Bretagne "
"placeName Brotteaux "
"placeName Canada "
"placeName Canada "
"placeName Clermont-Ferrand "
"placeName Conservatoire "
"placeName Conservatoire "
"placeName Conservatoire des arts et métiers "
"placeName Conservatoire des arts et métiers "
"placeName Cornouailles "
"placeName Croix-Rousse "
"placeName Espagne "
"placeName Europe "
"placeName Europe occidentale "
"placeName Flandre "
"placeName Flandres "
"placeName Fourvières "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Gascogne "
"placeName Gascogne "
"placeName Gascogne "
"placeName Germanie "
"placeName Grand-Théâtre "
"placeName Guillotière "
"placeName Halles "
"placeName Hindoustan "
"placeName Hindoustan "
"placeName Hollande "
"placeName Hongrie "
"placeName Hôtel Dieu "
"placeName Hôtel de ville "
"placeName Iles Britanniques "
"placeName Iles Britanniques "
"placeName Irlande "
"placeName Italie "
"placeName Italie "
"placeName Italie "
"placeName Landes "
"placeName Limousin "
"placeName Londres "
"placeName Londres "
"placeName Londres "
"placeName Londres "
"placeName Londres "
"placeName Lorraine "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyon "
"placeName Lyonnais "
"placeName Maurice "
"placeName Nancy "
"placeName Nord "
"placeName Normandie "
"placeName Oullins "
"placeName Palais de Justice "
"placeName Palais de Justice "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris, "
"placeName Picardie "
"placeName Poitou "
"placeName Provence "
"placeName Puy "
"placeName Russie "
"placeName Saardam "
"placeName Saint-Quentin "
"placeName South-Kensington "
"placeName Suisse "
"placeName Tour "
"placeName Troyes "
"placeName Vaise "
"placeName Valenciennes "
"placeName Westminster "
"placeName cathédrale "
"placeName colonie du Cap "
"placeName coteau de Fourvières "
"placeName hospice de l'Antiquaille "
"placeName ile de France "
"placeName la Bourse "
"placeName musée du Conservatoire "
"placeName musée Britannique "
"placeName palais Saint-Pierre "
"placeName palais de Justice "
"placeName palais des Beaux-Arts "
"placeName palais du Parlement "
"placeName pays de Galles "
"placeName place des Terreaux "
"placeName rbonnais "
"placeName Écosse "
"placeName église Saint-Eustache "
"placeName église Saint-Paul "
"placeName église d'Ainay "
