"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Aveyron rivière"
"geogFeat Bourgogne "
"geogFeat Briare "
"geogFeat Centre "
"geogFeat Gard rivière"
"geogFeat Isly rivière"
"geogFeat Loire fleuve"
"geogFeat Marne "
"geogFeat Midi "
"geogFeat Méditerranée mer"
"geogFeat Nantes à Brest "
"geogFeat Nivernais "
"geogFeat Rhin "
"geogFeat Rhône fleuve"
"geogFeat Rhône  au Rhin "
"geogFeat bassin de l'Escaut "
"geogFeat bassin du Cher supérieur "
"geogFeat bords de la Loire fleuve"
"geogFeat canal de Saint-Quentin "
"placeName "
"placeName ALGÉRIE "
"placeName Abyssinie "
"placeName Afrique "
"placeName Alais "
"placeName Alger "
"placeName Alger "
"placeName Alger "
"placeName Alger "
"placeName Alger "
"placeName Alger "
"placeName Alger "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Algérie "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Anzin "
"placeName Artois "
"placeName Autriche "
"placeName Belgique "
"placeName Blanzy "
"placeName Bone "
"placeName Canada "
"placeName Canada "
"placeName Catelet "
"placeName Cochinchine "
"placeName Constantine "
"placeName Constantine "
"placeName Creusot "
"placeName Decazeville "
"placeName Espagne "
"placeName Espagne "
"placeName Est "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Flandre "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Grand'Combe "
"placeName Guadeloupe "
"placeName Inde "
"placeName Isly "
"placeName Italie "
"placeName Italie "
"placeName Jardin d'acclimatation "
"placeName Lens "
"placeName Longwy "
"placeName Lorraine "
"placeName Manchester "
"placeName Maroc "
"placeName Martinique "
"placeName Midi "
"placeName Mirabeau "
"placeName Montauban "
"placeName Montchanin "
"placeName Nord "
"placeName Nord "
"placeName Oran "
"placeName Orléans "
"placeName Orléans "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Pays-Bas "
"placeName Rive-de-Gier "
"placeName Saint-Etienne "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Saint-Quentin "
"placeName Somain "
"placeName Strasbourg "
"placeName Suisse "
"placeName Valenciennes "
"placeName Valmy "
"placeName Valmy "
"placeName Verdun "
"placeName centre "
"placeName la Chambre "
"placeName province d'Alger "
"placeName région septentrionale de la France "
"placeName îles de la Réunion "
