"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Atlantique océan"
"geogFeat Avre fleuve"
"geogFeat Jura montagne"
"geogFeat Moye fleuve"
"geogFeat l'isthme isthme"
"geogFeat l'isthme de Suez isthme"
"placeName Aix en Provence "
"placeName Allemagne "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique méridionale "
"placeName Amérique septentrionale "
"placeName Andalousie "
"placeName Angleterre "
"placeName Angleterre "
"placeName Atlantique "
"placeName Aulus "
"placeName Auvergne "
"placeName Auxerre "
"placeName Bagnères "
"placeName Barèges "
"placeName Bourbonne-les-Bains "
"placeName Bourboule "
"placeName Bretagne "
"placeName Brie "
"placeName Bussang "
"placeName Calvi "
"placeName Camembert "
"placeName Chaudesaigues "
"placeName Contrexéville "
"placeName Corse "
"placeName Cuba "
"placeName Enghien "
"placeName Epoisses "
"placeName Espagne "
"placeName Espagne "
"placeName Europe "
"placeName Europe "
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Gruyère "
"placeName Gérardmer "
"placeName Haïti "
"placeName Indes "
"placeName Le continent américain "
"placeName Lucayes "
"placeName Lucayes "
"placeName Montmorency "
"placeName Neufchâtel "
"placeName Normandie "
"placeName Palos "
"placeName Panama "
"placeName Paraclet "
"placeName Paraclet "
"placeName Paraclet "
"placeName Plombières "
"placeName Portugal "
"placeName Rollot "
"placeName Royat "
"placeName Saint-Galmier "
"placeName San-Salvador "
"placeName Uriage "
"placeName Vichy "
"placeName l'isthme "
"placeName l'isthme de Suez "
"placeName mont Dore "
"placeName États-Unis "
"placeName États-Unis "
