"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Pô rivière"
"geogFeat lac Supérieur lac"
"placeName >Hindoustan "
"placeName Alger "
"placeName Algérie "
"placeName Asie "
"placeName Australie "
"placeName Californie "
"placeName Canton "
"placeName Chili "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Câtelet "
"placeName Câtelet "
"placeName Espagne "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName Han-kéou "
"placeName Indo-Chine "
"placeName Issy "
"placeName Japon "
"placeName Lombardie "
"placeName Lyon "
"placeName Marseille "
"placeName Mexique "
"placeName Mongolie "
"placeName Nan-king "
"placeName Nan-tchang "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Potosi "
"placeName Péking "
"placeName Pérou "
"placeName Pérou "
"placeName Pô "
"placeName Saint-Quentin "
"placeName Shang-haï "
"placeName Sibérie "
"placeName Sou-tchéou "
"placeName Tien-Tsin "
"placeName Versailles "
"placeName l'Algérie "
"placeName lac Supérieur "
