"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Aprouague fleuve"
"geogFeat Ardennes montagne"
"geogFeat Eure rivière"
"geogFeat Loire fleuve"
"geogFeat Loire fleuve"
"geogFeat Marne fleuve"
"geogFeat Marne rivière"
"geogFeat Meuse rivière"
"geogFeat Moselle rivière"
"geogFeat Méditerranée mer"
"geogFeat Orne rivière"
"geogFeat Rhône fleuve"
"geogFeat Sahara désert"
"geogFeat Seine fleuve"
"geogFeat Seine fleuve"
"geogFeat Somme fleuve"
"geogFeat Somme fleuve"
"geogFeat Vire rivière"
"geogFeat Yonne rivière"
"geogFeat baie de Carentan "
"geogFeat landes de Bretagne "
"geogFeat plaine de Caen "
"geogFeat presqu'ile de Cotentin "
"geogFeat vallée de la Loire "
"geogFeat vallée de la Meuse "
"geogFeat vallée du Rhône "
"placeName "
"placeName Afrique "
"placeName Aisne "
"placeName Algérie "
"placeName Amiens "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Andalousie "
"placeName Asie "
"placeName Auvergne "
"placeName Auvergne "
"placeName Beauvais "
"placeName Bernay "
"placeName Bordelais "
"placeName Bourgogne "
"placeName Bretagne "
"placeName Caen "
"placeName Calais "
"placeName Champagne "
"placeName Charentes "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cherbourg "
"placeName Cognac "
"placeName Congo "
"placeName Crécy "
"placeName Dunkerque "
"placeName Egypte "
"placeName Espagne "
"placeName Espagne "
"placeName Eure-et-Loir "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Evreux "
"placeName Fontainebleau "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France septentrionale "
"placeName Franche- LE GALIBIS. 455 Comté "
"placeName Gascogne "
"placeName Gironde "
"placeName Grenade "
"placeName Guyane "
"placeName Ille et-Vilaine "
"placeName Languedoc "
"placeName Limousin "
"placeName Lisieux "
"placeName Lot "
"placeName Lot-et-Garonne "
"placeName Nancy "
"placeName Niebla "
"placeName Nord "
"placeName Nord "
"placeName Nord "
"placeName Normandie "
"placeName Orléanais "
"placeName Orne "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Pas-de-Calais "
"placeName Pas-de-Calais "
"placeName Saint-Quentin "
"placeName Somme "
"placeName Tergnier "
"placeName Thomery "
"placeName Var "
"placeName Zanzibar "
"placeName cap Gris-Nez "
"placeName nouveau monde "
