"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat plateau de Langres "
"geogFeat Adour rivière"
"geogFeat Adour rivière"
"geogFeat Agout rivière"
"geogFeat Ain rivière"
"geogFeat Ain rivière"
"geogFeat Alpes montagne"
"geogFeat Ariège rivière"
"geogFeat Arkansas rivière"
"geogFeat Atlantique océan"
"geogFeat Atlantique océan"
"geogFeat Atlantique océan"
"geogFeat Aude rivière"
"geogFeat Aude rivière"
"geogFeat Baltique mer"
"geogFeat Cévennes montagne"
"geogFeat Dordogne fleuve"
"geogFeat Doubs rivière"
"geogFeat Doubs rivière"
"geogFeat Durance rivière"
"geogFeat Durance rivière"
"geogFeat Durance rivière"
"geogFeat Elbe "
"geogFeat Erié lac"
"geogFeat Gard rivière"
"geogFeat Gard rivière"
"geogFeat Garonne fleuve"
"geogFeat Garonne fleuve"
"geogFeat Garonne fleuve"
"geogFeat Gers rivière"
"geogFeat Hudson fleuve"
"geogFeat Hudson fleuve"
"geogFeat Hudson fleuve"
"geogFeat Huron lac"
"geogFeat Hérault rivière"
"geogFeat Hérault rivière"
"geogFeat Isle rivière"
"geogFeat Jura montagne"
"geogFeat Lot rivière"
"geogFeat Manche "
"geogFeat Michigan lac"
"geogFeat Mississipi fleuve"
"geogFeat Missouri rivière"
"geogFeat Méditerranée mer"
"geogFeat Méditerranée mer"
"geogFeat Méditerranée mer"
"geogFeat Méditerranée mer"
"geogFeat Niagara "
"geogFeat Ohio rivière"
"geogFeat Ontario lac"
"geogFeat Pacifique océan"
"geogFeat Py- rénées montagne"
"geogFeat Pyrénées montagne"
"geogFeat Pyrénées montagne"
"geogFeat Rhône fleuve"
"geogFeat Rhône fleuve"
"geogFeat Saône rivière"
"geogFeat Saône rivière"
"geogFeat Seine fleuve"
"geogFeat Seine fleuve"
"geogFeat Seine fleuve"
"geogFeat Supérieur lac"
"geogFeat Susquehannah fleuve"
"geogFeat Tarn rivière"
"geogFeat Tarn rivière"
"geogFeat Têt rivière"
"geogFeat Têt rivière"
"geogFeat Var rivière"
"geogFeat Veser fleuve"
"geogFeat Weser fleuve"
"geogFeat Yonne rivière"
"geogFeat baie de Fundy "
"geogFeat baie du mont Saint-Michel "
"geogFeat banc de Terre-Neuve "
"geogFeat col- lines "
"geogFeat eaux du Nord "
"geogFeat falaises de Normandie "
"geogFeat la Manche "
"geogFeat le Delaware fleuve"
"geogFeat le golf "
"geogFeat mer du Nord mer"
"geogFeat mer du Sud mer"
"geogFeat monts d'Auvergne montagne"
"geogFeat monts du Charolais montagne"
"geogFeat monts du Morvan montagne"
"geogFeat océan Indien océan"
"geogFeat route du Nord "
"placeName 'Égypte "
"placeName Afrique "
"placeName Aix "
"placeName Aix "
"placeName Ajaccio "
"placeName Albany "
"placeName Albany "
"placeName Algérie "
"placeName Alise-Sainte-Reine "
"placeName Alésia "
"placeName Amiens "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique du Nord "
"placeName Angleterre "
"placeName Arcole "
"placeName Arles "
"placeName Arles "
"placeName Arles "
"placeName Arles "
"placeName Arles "
"placeName Asie "
"placeName Australie "
"placeName Australie "
"placeName Autun "
"placeName Autun "
"placeName Auvergne "
"placeName Auxerre "
"placeName Auxonne "
"placeName Avallon "
"placeName BOURGOGNE "
"placeName Baltimore "
"placeName Beaune "
"placeName Belley "
"placeName Besançon "
"placeName Bordeaux "
"placeName Bordeaux "
"placeName Bordeaux "
"placeName Boston "
"placeName Bourbonnais "
"placeName Bourg "
"placeName Bourgogne "
"placeName Bourgogne "
"placeName Bourgogne "
"placeName Bourgogne "
"placeName Bourgogne "
"placeName Bretagne "
"placeName Bretagne "
"placeName Bretagne "
"placeName Bretagne "
"placeName Brienne "
"placeName Béarn "
"placeName Canada "
"placeName Castiglione "
"placeName Chalon "
"placeName Champagne "
"placeName Charolais "
"placeName Charolles "
"placeName Chicago "
"placeName Chili "
"placeName Chine "
"placeName Châtillon "
"placeName Châtillon-sur-Seine "
"placeName Cluny "
"placeName Constanti- nople "
"placeName Corse "
"placeName Creusot "
"placeName Creusot "
"placeName Creusot "
"placeName Côte-d'Or "
"placeName Dauphiné "
"placeName Dijon "
"placeName Dôle "
"placeName Egypte "
"placeName Elbe "
"placeName Espagne "
"placeName Espagne "
"placeName Espagne "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName FRANCHE-COMTÉ "
"placeName Fontaine des Innocents "
"placeName Fontaine des Innocents "
"placeName Fontaine des Innocents "
"placeName Fougerolles "
"placeName Fragi- court "
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Franche-Comté "
"placeName Franche-Comté "
"placeName Franche-Comté "
"placeName Franche-Comté "
"placeName Franche-Comté "
"placeName Fundy "
"placeName Gascogne "
"placeName Gaule "
"placeName Gray "
"placeName Guyenne "
"placeName Halles "
"placeName Halles "
"placeName Halles "
"placeName Halles "
"placeName Halles "
"placeName Halles centrales "
"placeName Hindoustan "
"placeName Italie "
"placeName Joliette "
"placeName LES ÉTATS-UNIS "
"placeName La Fère "
"placeName Languedoc "
"placeName Le bassin de la Joliette "
"placeName Lons le-Saunier "
"placeName Lons-le-Saunier "
"placeName Louhans "
"placeName Lure "
"placeName Lyonnais "
"placeName Marseille "
"placeName Marseille "
"placeName Marseille "
"placeName Marseille "
"placeName Meudon réel"
"placeName Mexique "
"placeName Midi "
"placeName Midi "
"placeName Midi "
"placeName Montauban "
"placeName Montauban "
"placeName Montbéliard "
"placeName Montenotte "
"placeName Morvan "
"placeName Mâcon "
"placeName New York "
"placeName New-York "
"placeName New-York "
"placeName Nice "
"placeName Nice "
"placeName Nice "
"placeName Nivernais "
"placeName Normandie "
"placeName Normandie "
"placeName Nouvelle -Orléans "
"placeName Nouvelle-Bretagne "
"placeName Nuits "
"placeName Océanie "
"placeName Océanie "
"placeName Orléans "
"placeName Pa- ris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris "
"placeName Paris réel"
"placeName Pas-de-Calais "
"placeName Pau "
"placeName Pau "
"placeName Philadelphie "
"placeName Philadelphie "
"placeName Pittsburg "
"placeName Pontarlier "
"placeName Provence "
"placeName Reischoffen "
"placeName Rivoli "
"placeName Roussillon "
"placeName Saint-Cloud réel"
"placeName Saint-Louis "
"placeName Sainte-Hélene "
"placeName Salins "
"placeName Salins "
"placeName San-Francisco "
"placeName Savoie "
"placeName Saône-et-Loire "
"placeName Semur "
"placeName Suisse "
"placeName Suisse "
"placeName Suède "
"placeName Sénégal "
"placeName Terre-Neuve "
"placeName Toscane "
"placeName Toulon "
"placeName Toulon "
"placeName Toulouse "
"placeName Toulouse "
"placeName Trévoux "
"placeName Turquie "
"placeName Valence "
"placeName Versailles "
"placeName Vesoul "
"placeName Washington "
"placeName Waterloo "
"placeName comtat d'Avignon "
"placeName comté de Foix "
"placeName fontaine des Innocents "
"placeName le Creusot "
