"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Méditerranée "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Ain "
"placeName Allemagne "
"placeName Alpes-Maritimes "
"placeName Alsace-Lorraine "
"placeName Ardennes "
"placeName Ariège "
"placeName Autriche "
"placeName Avesnes "
"placeName Basses-Alpes "
"placeName Basses-Pyrénées "
"placeName Bayonne "
"placeName Belfort "
"placeName Besançon "
"placeName Bois-Maillard "
"placeName Bois-Maillard "
"placeName Bouchain "
"placeName Briançon "
"placeName Cambrai "
"placeName Catelet "
"placeName Catelet "
"placeName Catelet "
"placeName Catelet "
"placeName Coucy "
"placeName Coucy "
"placeName Douai "
"placeName Doubs "
"placeName Embrun "
"placeName Espagne "
"placeName Espagne "
"placeName Espagne "
"placeName Flandre "
"placeName Fragicourt "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Givet "
"placeName Haute-Garonne "
"placeName Haute-Savoie "
"placeName Hautes-Alpes "
"placeName Hautes-Pyrénées "
"placeName Jura "
"placeName Le Quesnoy "
"placeName Lille "
"placeName Longwy "
"placeName Lourdes "
"placeName Maubeuge "
"placeName Meurthe-et-Moselle "
"placeName Meuse "
"placeName Montmédy "
"placeName Méditerranée "
"placeName Mézières "
"placeName Nancy "
"placeName Nord "
"placeName Paris "
"placeName Paris "
"placeName Pays-Bas "
"placeName Pays-Bas "
"placeName Pays-Bas "
"placeName Perpignan "
"placeName Pyrénées-Orientales "
"placeName Rocroi "
"placeName Savoie "
"placeName Sedan "
"placeName Sylvain fictif"
"placeName Toul "
"placeName Valenciennes "
"placeName Verdun "
"placeName Verdun "
"placeName Vincennes "
"placeName Vosges "
"placeName territoire de Belfort "
"placeName Épinal "
