"elementName", "elementContent", "typeAttributeIfPresent"
"geogFeat Atlantique océan"
"geogFeat CATARACTE DU NIAGARA "
"geogFeat Congo fleuve"
"geogFeat Erié lac"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Escaut fleuve"
"geogFeat Grand-Ours lac"
"geogFeat Manche mer"
"geogFeat Manche mer"
"geogFeat Méditerranée "
"geogFeat Niagara "
"geogFeat Niagara "
"geogFeat Niagara "
"geogFeat Niagara rivière"
"geogFeat Niagara rivière"
"geogFeat Ogoué fleuve"
"geogFeat Ogoué fleuve"
"geogFeat Ontario lac"
"geogFeat Tanganyika lac"
"geogFeat Zambèze fleuve"
"geogFeat baie d'Hudson "
"geogFeat golfe Persique "
"geogFeat golfe d'Oman "
"geogFeat isthme de Suez "
"geogFeat l'Esclave lac"
"geogFeat la mer d'Hudson mer"
"geogFeat mer Caspienne mer"
"geogFeat mer Rouge mer"
"geogFeat mer d'Hudson mer"
"geogFeat mer de Baffin mer"
"geogFeat mer du Nord mer"
"geogFeat mer du Nord mer"
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique "
"placeName Afrique réel"
"placeName Afrique méridionale "
"placeName Aisne "
"placeName Algérie "
"placeName Algérie "
"placeName Allemagne "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique "
"placeName Amérique du Nord "
"placeName Amérique du Nord "
"placeName Amérique du Nord "
"placeName Angle terre "
"placeName Angleterre "
"placeName Angleterre "
"placeName Antilles "
"placeName Anvers "
"placeName Anvers "
"placeName Anvers "
"placeName Anvers "
"placeName Anvers "
"placeName Arabie "
"placeName Asie "
"placeName Asie "
"placeName Asie "
"placeName Asie "
"placeName Asie "
"placeName Asie méridionale "
"placeName Atlantique "
"placeName Australie "
"placeName Australie "
"placeName Belgique "
"placeName Belgique "
"placeName Belgique "
"placeName Benguéla "
"placeName Benguéla "
"placeName Bombay "
"placeName Brazzaville "
"placeName Brésil "
"placeName Buffalo "
"placeName Bénarès "
"placeName Cafrerie "
"placeName Calcutta "
"placeName Cambrai "
"placeName Chandernagor "
"placeName Chicago "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Chine "
"placeName Cincinnati "
"placeName Congo "
"placeName Daman "
"placeName Diu "
"placeName Erié "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Escaut "
"placeName Espagne "
"placeName Espagne "
"placeName Etats Unis "
"placeName Etats-Unis "
"placeName Etats-Unis "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Europe "
"placeName Fragicourt fictif"
"placeName Fragicourt fictif"
"placeName France "
"placeName France "
"placeName France "
"placeName France "
"placeName Franceville "
"placeName Gabon "
"placeName Gabon "
"placeName Gand "
"placeName Goa "
"placeName Grand-Ours "
"placeName Grœnland "
"placeName Hindoustan "
"placeName Hindoustan "
"placeName Hollande "
"placeName Hongrie "
"placeName Hyderabad "
"placeName Illinois "
"placeName Inde "
"placeName Inde anglaise "
"placeName Indo-Chine "
"placeName Indo-Chine "
"placeName Ispahan "
"placeName Japon "
"placeName Japon "
"placeName Java "
"placeName Karikal "
"placeName Katmandou "
"placeName Lahore "
"placeName Madras "
"placeName Mahé "
"placeName Malaisie "
"placeName Malaisie "
"placeName Manche "
"placeName Manche "
"placeName Mecque "
"placeName Moka "
"placeName Médine "
"placeName Méditerranée "
"placeName NIAGARA "
"placeName New-York "
"placeName Niagara "
"placeName Niagara "
"placeName Niagara "
"placeName Niagara "
"placeName Niagara "
"placeName Norvège "
"placeName Océanie "
"placeName Ogoué "
"placeName Ogoué "
